2016-08-19 00:50:09 startup archives install
2016-08-19 00:50:09 install base-passwd:amd64 <none> 3.5.39
2016-08-19 00:50:09 status half-installed base-passwd:amd64 3.5.39
2016-08-19 00:50:09 status unpacked base-passwd:amd64 3.5.39
2016-08-19 00:50:09 status unpacked base-passwd:amd64 3.5.39
2016-08-19 00:50:09 configure base-passwd:amd64 3.5.39 3.5.39
2016-08-19 00:50:09 status unpacked base-passwd:amd64 3.5.39
2016-08-19 00:50:09 status half-configured base-passwd:amd64 3.5.39
2016-08-19 00:50:10 status installed base-passwd:amd64 3.5.39
2016-08-19 00:50:10 startup archives install
2016-08-19 00:50:10 install base-files:amd64 <none> 9.4ubuntu4
2016-08-19 00:50:10 status half-installed base-files:amd64 9.4ubuntu4
2016-08-19 00:50:10 status unpacked base-files:amd64 9.4ubuntu4
2016-08-19 00:50:10 status unpacked base-files:amd64 9.4ubuntu4
2016-08-19 00:50:10 configure base-files:amd64 9.4ubuntu4 9.4ubuntu4
2016-08-19 00:50:10 status unpacked base-files:amd64 9.4ubuntu4
2016-08-19 00:50:10 status unpacked base-files:amd64 9.4ubuntu4
2016-08-19 00:50:10 status unpacked base-files:amd64 9.4ubuntu4
2016-08-19 00:50:10 status unpacked base-files:amd64 9.4ubuntu4
2016-08-19 00:50:10 status unpacked base-files:amd64 9.4ubuntu4
2016-08-19 00:50:10 status unpacked base-files:amd64 9.4ubuntu4
2016-08-19 00:50:10 status unpacked base-files:amd64 9.4ubuntu4
2016-08-19 00:50:10 status unpacked base-files:amd64 9.4ubuntu4
2016-08-19 00:50:10 status unpacked base-files:amd64 9.4ubuntu4
2016-08-19 00:50:10 status unpacked base-files:amd64 9.4ubuntu4
2016-08-19 00:50:10 status unpacked base-files:amd64 9.4ubuntu4
2016-08-19 00:50:10 status half-configured base-files:amd64 9.4ubuntu4
2016-08-19 00:50:10 status installed base-files:amd64 9.4ubuntu4
2016-08-19 00:50:10 startup archives install
2016-08-19 00:50:10 upgrade dpkg 1.18.4ubuntu1 1.18.4ubuntu1
2016-08-19 00:50:10 status half-configured dpkg 1.18.4ubuntu1
2016-08-19 00:50:10 status unpacked dpkg 1.18.4ubuntu1
2016-08-19 00:50:10 status half-installed dpkg 1.18.4ubuntu1
